Functional Acuity = 0.01 stream_shift_amount= 0.01, p_stream_shift=0.15, beam_shift_amount=0.01, p_crazy_ivan=0.01
operator_response_delay	mean	sem	n_crazy_ivans
1	0.81	0.00	45.63333333333333
2	0.80	0.01	36.93333333333333
3	0.78	0.01	46.56666666666667
4	0.77	0.01	45.666666666666664
5	0.76	0.01	38.5
6	0.75	0.01	49.36666666666667
7	0.75	0.01	32.96666666666667
8	0.74	0.01	36.7
9	0.74	0.00	37.1
10	0.73	0.01	39.43333333333333
